dataset,metric,value,unit,source_file,interpretation
raw_baseline,raw_scan_total_points,69984,points,cloud_filter_validation_20260827.csv,原始Gazebo LiDAR快照总点数
raw_baseline,raw_scan_finite_points,33524,points,cloud_filter_validation_20260827.csv,原始快照中有限点数；其余主要为inf无回波
raw_baseline,raw_scan_water_band_points,4978,points,cloud_filter_validation_20260827.csv,基线原始传感器帧中水面高度带点数
raw_baseline,raw_obstacle_water_band_points,7131,points,cloud_filter_validation_20260827.csv,基线/raw_obstacle_cloud中被判定为水面高度带的点数
raw_baseline,raw_obstacle_above_0_5_points,2710,points,cloud_filter_validation_20260827.csv,基线/raw_obstacle_cloud中高于0.5m的点数
raw_baseline,structure_cloud_points,0,points,cloud_filter_validation_20260827.csv,基线结构云因在错误世界坐标系裁剪而为空
improved_runtime,raw_points_median,69984.0,points,improved_costmap_pipeline_20260827.csv,原始VRX LiDAR帧点数
improved_runtime,filtered_points_median,23832.0,points,improved_costmap_pipeline_20260827.csv,进入Point-LIO的有限且经高度筛选点数
improved_runtime,registered_points_median,8030.0,points,improved_costmap_pipeline_20260827.csv,Point-LIO配准点云点数
improved_runtime,structure_points_median,177.0,points,improved_costmap_pipeline_20260827.csv,结构障碍点云点数
improved_runtime,raw_obstacle_points_median,3648.0,points,improved_costmap_pipeline_20260827.csv,原始近场障碍点云点数
improved_runtime,costmap_nonfree_cells_median,4192.0,cells,improved_costmap_pipeline_20260827.csv,局部代价地图非自由栅格数
improved_runtime,filtered_hz_mean,1.8950002824840553,Hz,improved_costmap_pipeline_20260827.csv,过滤后点云发布频率
improved_runtime,registered_hz_mean,2.158174710419907,Hz,improved_costmap_pipeline_20260827.csv,配准点云发布频率
improved_runtime,local_costmap_hz_mean,1.6314366326341703,Hz,improved_costmap_pipeline_20260827.csv,局部代价地图更新频率
